"type","x","y","z","vx","vy","vz","fx","fy","fz","omegax","omegay","omegaz","radius"
0,-0.343288,-1.33333,0.0299504,8.67E-29,-9.62E-29,-3.12E-15,-1.35E-27,1.42E-27,0,1.77E-27,1.59E-27,6.07182,0.03
0,-0.256917,-1.35105,0.0299504,2.62E-32,1.76E-31,-1.60E-14,1.14E-29,7.70E-29,0,-4.17E-30,6.19E-31,1.54743,0.03
0,0.293816,-1.33317,0.0299504,-1.16E-17,1.67E-17,-9.57E-15,1.37E-15,-1.98E-15,0,-2.87E-16,-2.00E-16,0.0910877,0.03
0,-0.487236,-1.33065,0.029951,2.90E-07,3.18E-07,2.23E-07,-2.19E-05,-1.63E-05,-1.19E-05,-3.72E-07,2.46E-06,-9.60E-06,0.03
0,-0.408829,-1.30672,0.0299504,4.41E-28,3.85E-28,-3.12E-15,-6.34E-26,-5.54E-26,0,-6.49E-27,7.43E-27,2.67178,0.03
0,-0.217726,-1.30224,0.0299437,-7.76E-08,-6.82E-07,-3.47E-07,1.57E-05,-7.17E-05,-2.43E-05,1.15E-05,8.75E-07,-1.21E-05,0.03
0,-0.0935611,-1.3099,0.0299498,2.51E-07,-2.86E-07,-1.37E-07,5.36E-06,1.09E-05,2.38E-06,2.82E-06,4.89E-06,-2.86E-05,0.03
0,0.013677,-1.32522,0.0299497,5.50E-08,-4.94E-08,-2.25E-08,-3.59E-06,1.63E-05,6.05E-06,2.64E-07,7.19E-07,-5.77E-06,0.03
0,0.369584,-1.31308,0.0299487,-1.60E-07,3.14E-07,1.48E-07,-6.10E-06,2.06E-05,8.94E-06,-3.29E-06,1.98E-07,-3.80E-06,0.03
0,-0.472181,-1.2726,0.0299508,5.32E-07,8.86E-07,9.34E-07,-5.20E-05,-4.78E-05,-5.25E-05,3.06E-06,-7.09E-06,1.44E-05,0.03
0,-0.29785,-1.29254,0.0299446,-2.16E-07,-5.51E-07,-3.09E-07,-4.51E-05,-0.000109426,-3.86E-05,6.64E-06,-1.35E-06,1.68E-06,0.03
