"type","x","y","z","vx","vy","vz","fx","fy","fz","omegax","omegay","omegaz","radius"
1,-0.569286,-1.81537,0.0199747,-1.78E-49,-3.67E-49,-1.21E-14,-6.75E-47,-1.39E-46,0,1.61E-47,-7.81E-48,-10.6188,0.02
1,-0.661879,-1.50873,0.0199747,-1.45E-79,-4.43E-79,5.97E-15,-6.10E-77,-1.87E-76,0,2.02E-77,-6.60E-78,-0.182894,0.02
1,0.228652,-1.45658,0.0199747,-9.43E-107,-4.08E-105,-1.21E-14,1.13E-104,4.88E-103,0,9.29E-104,-2.15E-105,14.46,0.02
1,-0.6735,-1.4002,0.0199747,-1.19E-64,-1.54E-64,-3.07E-15,-1.03E-62,-1.33E-62,0,4.86E-63,-3.75E-63,3.88743,0.02
1,-0.10585,-1.37235,0.0199747,2.95E-144,-5.75E-143,1.50E-14,-1.30E-141,2.53E-140,0,5.30E-142,2.72E-143,-1.88771,0.02
1,-0.534855,-1.34214,0.0199743,1.07E-07,1.97E-07,9.98E-08,-2.58E-06,-3.63E-06,-2.05E-06,-4.40E-06,7.39E-07,1.07E-05,0.02
1,-0.137503,-1.33197,0.0199731,1.84E-08,-6.95E-07,-6.51E-07,4.25E-07,-8.92E-06,-9.63E-06,7.33E-06,-4.91E-06,2.31E-05,0.02
1,0.405224,-1.34668,0.0199735,-1.33E-07,8.23E-08,8.69E-08,-2.47E-06,1.21E-06,1.48E-06,-9.10E-07,-2.21E-06,-1.99E-06,0.02
1,0.464135,-1.33848,0.0199747,1.48E-58,1.08E-57,5.97E-15,1.87E-57,1.37E-56,0,-3.07E-56,4.20E-57,0.456739,0.02
1,-0.79868,-1.32191,0.0199747,-1.70E-128,-1.72E-127,-3.06E-15,6.56E-127,6.66E-126,0,4.51E-126,-4.45E-127,-7.59691,0.02
1,-0.585492,-1.3082,0.0199747,3.98E-19,5.50E-19,5.97E-15,5.87E-18,8.18E-18,0,-1.57E-17,1.13E-17,0.260948,0.02
1,0.422036,-1.31012,0.0199747,-1.77E-08,-2.27E-08,1.64E-08,-4.50E-07,-1.01E-06,-3.16E-06,8.66E-07,-3.21E-07,-8.30E-07,0.02
1,2.31267,-1.32975,0.0199747,-5.11E-180,2.97E-180,5.97E-15,7.10E-179,-4.13E-179,0,-8.09E-179,-1.39E-178,-4.9139,0.02
1,-0.566922,-1.27258,0.0199744,6.13E-07,8.83E-07,5.66E-07,-1.15E-05,-1.97E-05,-1.31E-05,-1.51E-05,6.50E-06,1.54E-05,0.02
1,-0.51763,-1.29086,0.019973,3.48E-07,5.41E-07,4.70E-07,-7.61E-06,-8.57E-06,-9.46E-06,-6.84E-06,5.98E-06,-1.83E-05,0.02
1,0.131426,-1.29634,0.0199732,-1.48E-07,4.00E-07,1.38E-07,-4.89E-06,2.84E-06,-5.84E-07,-9.79E-06,-1.50E-06,-1.84E-05,0.02
1,0.401842,-1.2756,0.0199593,4.35E-08,2.36E-08,7.80E-08,-9.74E-06,-1.01E-05,-9.19E-06,-1.11E-07,1.43E-06,-3.82E-06,0.02
1,0.680141,-1.2692,0.0199747,-1.09E-19,-1.11E-18,-1.21E-14,3.99E-18,4.28E-17,0,2.91E-17,-2.86E-18,-11.9764,0.02
1,-0.611055,-1.24608,0.0199735,7.01E-07,1.05E-06,9.01E-07,-1.46E-05,-2.05E-05,-1.94E-05,-1.56E-05,7.95E-06,7.10E-06,0.02
1,-0.376978,-1.25474,0.0199735,-4.28E-08,1.40E-06,1.02E-06,-5.53E-06,-2.42E-05,-6.25E-06,-2.25E-05,-9.50E-07,-3.69E-05,0.02
1,-0.337643,-1.26286,0.0199747,1.63E-23,1.82E-25,5.97E-15,2.32E-21,-1.51E-21,0,5.88E-23,5.52E-22,0.0668913,0.02
1,-0.249245,-1.24387,0.0199065,5.28E-07,-1.44E-06,-1.12E-06,-1.10E-05,-3.89E-05,-1.59E-05,2.58E-05,1.40E-05,-7.36E-05,0.02
1,0.369921,-1.25131,0.0199361,-1.37E-06,-1.13E-06,1.17E-07,-6.26E-05,-0.000101588,1.22E-05,4.31E-05,-4.63E-05,-0.000406608,0.02
1,0.409799,-1.23515,0.0199446,-2.57E-07,2.61E-08,1.63E-07,-1.62E-05,-6.01E-06,3.75E-06,2.02E-06,-4.78E-06,3.64E-05,0.02
1,0.641608,-1.24764,0.0199747,-3.30E-19,-1.30E-18,-1.21E-14,3.03E-17,1.01E-16,0,3.19E-17,-7.90E-18,-6.08325,0.02
1,0.73658,-1.25705,0.0199747,-2.07E-18,1.46E-18,5.97E-15,-2.09E-16,1.48E-16,0,-4.68E-17,-6.63E-17,-11.4676,0.02
1,-0.970749,-1.22988,0.0199747,-1.13E-182,-1.54E-182,-3.07E-15,4.30E-181,5.86E-181,0,4.04E-181,-2.96E-181,-5.0484,0.02
1,-0.824719,-1.23312,0.0199737,-4.51E-08,-8.37E-09,-1.18E-09,-2.36E-07,1.09E-06,2.67E-07,3.19E-07,-1.16E-06,1.03E-06,0.02
1,-0.629924,-1.21081,0.0199744,1.26E-06,1.08E-06,7.57E-07,-3.12E-05,-2.18E-05,-1.51E-05,-1.10E-05,2.78E-05,-4.78E-05,0.02
1,-0.469854,-1.22368,0.0199485,1.91E-06,1.84E-06,1.31E-06,-4.96E-05,-2.93E-05,-2.32E-05,-4.11E-05,5.37E-05,-7.71E-05,0.02
1,0.0817301,-1.20636,0.0199738,-1.70E-07,1.23E-06,5.20E-07,-4.49E-06,1.51E-07,2.42E-06,-2.35E-05,-9.06E-06,0.000115439,0.02
1,0.171882,-1.22199,0.0443418,-2.35E-06,1.78E-06,2.41E-07,-3.89E-05,1.65E-05,9.60E-06,4.37E-06,-2.39E-06,-2.17E-06,0.02
1,0.272092,-1.22691,0.0199456,-1.25E-06,3.64E-07,9.57E-08,-2.25E-05,2.59E-06,-7.13E-07,-1.83E-05,-3.36E-05,-4.03E-05,0.02
1,0.334225,-1.23053,0.0199487,-1.13E-06,1.30E-08,-8.85E-08,-1.83E-05,1.07E-05,-3.11E-06,-9.44E-06,-2.07E-05,-3.41E-05,0.02
1,0.478479,-1.2333,0.0199733,2.38E-08,-3.05E-07,-1.59E-08,-2.02E-05,7.83E-06,7.11E-06,4.98E-06,1.12E-05,-1.03E-06,0.02
1,-1.18984,-1.19772,0.0199747,-5.39E-44,-4.90E-44,-3.06E-15,-3.99E-42,-3.63E-42,0,1.52E-42,-1.67E-42,-12.6665,0.02
1,-0.895512,-1.19896,0.0199748,-4.21E-09,-7.45E-09,2.42E-09,1.49E-06,9.08E-08,2.53E-07,2.40E-07,-1.31E-07,-5.84E-07,0.02
1,-0.863097,-1.17555,0.0199728,-2.70E-09,-1.23E-08,2.14E-08,1.71E-06,1.51E-06,-6.33E-07,3.02E-07,-2.54E-07,4.89E-07,0.02
1,-0.620729,-1.1719,0.0199347,2.39E-06,2.11E-06,7.05E-07,-6.64E-05,-3.67E-05,-6.38E-06,-5.36E-05,6.10E-05,4.13E-05,0.02
1,-0.395906,-1.18638,0.0199057,2.66E-06,2.31E-06,9.30E-07,-5.92E-05,-2.56E-05,5.99E-05,-5.59E-05,2.99E-05,-4.43E-05,0.02
1,0.0134713,-1.1934,0.0199119,-7.48E-07,1.45E-06,-1.05E-06,-2.40E-05,2.52E-05,-6.59E-06,-5.56E-05,-2.78E-05,0.000116968,0.02
1,0.15046,-1.18966,0.0346901,-1.84E-06,2.51E-06,7.80E-07,-3.00E-05,2.34E-05,1.70E-05,2.38E-05,2.56E-05,-2.62E-05,0.02
1,0.187293,-1.19433,0.0199516,-1.42E-06,1.01E-06,7.97E-08,-2.20E-05,1.16E-05,5.39E-06,-2.98E-05,-1.91E-05,-3.18E-05,0.02
1,0.222043,-1.17463,0.0199611,-1.40E-06,2.64E-07,-8.43E-08,-2.04E-05,6.39E-06,2.95E-06,-2.00E-05,-2.88E-05,-6.48E-06,0.02
1,0.503705,-1.2023,0.0199265,1.84E-07,-8.77E-07,-4.80E-07,-3.23E-05,1.73E-05,1.67E-05,1.68E-05,-3.59E-06,3.75E-08,0.02
1,0.75104,-1.18346,0.0199747,-1.91E-18,1.93E-18,5.97E-15,5.09E-16,-6.03E-16,0,-2.81E-17,-3.16E-17,2.28473,0.02
